Model_agg,Model_mean_enc
717-200,8.32389402254914
EMB-120ER,7.544103767224874
737-524,7.3156325671383895
A320-211,5.941054885944816
A320-232,9.767034170560748
A319-112,3.665385649019081
737-824,9.662595149583996
EMB-145LR,15.259315982616133
757-232,6.837339368757052
MD-88,6.808310755835898
737-7H4,5.403325828276179
737-522,10.327135280131683
737-322,11.438015075577724
757-222,9.753184894269625
DC-9-31,4.719799640483933
Other,9.230822028350557
DC-9-51,6.890338560565424
757-251,7.617405392894341
737-3H4,11.118153989485593
A320-212,4.788998744507219
CL-600-2C10,16.817328156456714
A319-131,9.696029715635147
DC-9-82(MD-82),8.98002063835874
737-3TO,10.403174802951403
CL-600-2B19,11.312338758071713
DC-9-83(MD-83),8.767176722991543
767-332,7.792971175166297
737-4Q8,9.538047241671155
