Model,Feature,Importance
LinearRegression,CRSElapsedTime,0.20712630956996694
LinearRegression,DepDelay,0.9431053868342709
LinearRegression,Distance,0.021839837939575207
LinearRegression,TaxiOut,0.9204669869752804
LinearRegression,DepTime_minutes,0.00019620511787803914
LinearRegression,CRSDepTime_minutes,0.00021426663148821045
LinearRegression,CRSArrTime_minutes,0.00015803646376755587
LinearRegression,Month_sin,0.5271424530017041
LinearRegression,Month_cos,0.39181660348320996
LinearRegression,DayofMonth_sin,0.2416992815647755
LinearRegression,DayofMonth_cos,0.13100911993994613
LinearRegression,DayOfWeek_sin,0.09503482350402927
LinearRegression,DayOfWeek_cos,0.29160427577100057
LinearRegression,Origin,0.49515401540118464
LinearRegression,Dest,0.04648552491972469
LinearRegression,EngineType,0.041051000275450035
LinearRegression,AircraftType,0.28276028935908687
LinearRegression,Manufacturer,1.589089773447392
LinearRegression,Model,1.8598198167624294
LinearRegression,Year,0.12226585515362957
LinearRegression,PlaneIssueYear,0.12226586592297956
DecisionTree,CRSElapsedTime,0.0001294287878385904
DecisionTree,DepDelay,0.9182995054878204
DecisionTree,Distance,0.0
DecisionTree,TaxiOut,0.07339173765829642
DecisionTree,DepTime_minutes,0.006466759239960143
DecisionTree,CRSDepTime_minutes,0.0
DecisionTree,CRSArrTime_minutes,0.0014823713644520173
DecisionTree,Month_sin,0.0
DecisionTree,Month_cos,0.0
DecisionTree,DayofMonth_sin,0.0
DecisionTree,DayofMonth_cos,0.0
DecisionTree,DayOfWeek_sin,0.0
DecisionTree,DayOfWeek_cos,0.0
DecisionTree,Origin,0.0
DecisionTree,Dest,0.0
DecisionTree,EngineType,0.0
DecisionTree,AircraftType,0.0
DecisionTree,Manufacturer,0.0
DecisionTree,Model,0.0
DecisionTree,Year,0.0
DecisionTree,PlaneIssueYear,0.0
RandomForest,CRSElapsedTime,0.002709550217391532
RandomForest,DepDelay,0.8015518378274068
RandomForest,Distance,0.0014103300658356592
RandomForest,TaxiOut,0.08144383756252657
RandomForest,DepTime_minutes,0.04589867163183674
RandomForest,CRSDepTime_minutes,0.03698889845973693
RandomForest,CRSArrTime_minutes,0.016906027359327256
RandomForest,Month_sin,0.0006596398974585472
RandomForest,Month_cos,0.0010205560845653913
RandomForest,DayofMonth_sin,0.0005322095812853161
RandomForest,DayofMonth_cos,0.0004959765635479167
RandomForest,DayOfWeek_sin,0.0004073951890210851
RandomForest,DayOfWeek_cos,0.0002902172612049723
RandomForest,Origin,0.002589143508547429
RandomForest,Dest,0.0034388564771721825
RandomForest,EngineType,4.683243478844949e-05
RandomForest,AircraftType,0.00012969239887987438
RandomForest,Manufacturer,3.931330188023385e-05
RandomForest,Model,9.968390573674324e-06
RandomForest,Year,1.9303288655336865e-05
RandomForest,PlaneIssueYear,1.9039279182006972e-05
GBTRegressor,CRSElapsedTime,0.03249286657852649
GBTRegressor,DepDelay,0.804634903082087
GBTRegressor,Distance,0.017058059499191928
GBTRegressor,TaxiOut,0.08484036331178231
GBTRegressor,DepTime_minutes,0.012265675327611697
GBTRegressor,CRSDepTime_minutes,0.01926077282699378
GBTRegressor,CRSArrTime_minutes,0.005226770956978414
GBTRegressor,Month_sin,0.0005422248299405512
GBTRegressor,Month_cos,0.0026364918372120613
GBTRegressor,DayofMonth_sin,0.0
GBTRegressor,DayofMonth_cos,0.0
GBTRegressor,DayOfWeek_sin,0.0
GBTRegressor,DayOfWeek_cos,0.0
GBTRegressor,Origin,0.01444095229148492
GBTRegressor,Dest,0.004807597670438208
GBTRegressor,EngineType,0.0
GBTRegressor,AircraftType,0.0
GBTRegressor,Manufacturer,0.0
GBTRegressor,Model,0.00039291199315060567
GBTRegressor,Year,0.0
GBTRegressor,PlaneIssueYear,0.0
